condition,id,area,first_peak,start_size,end_size,bin_prey_area,difference_popping_point_end_of_growth_min,data,sgr_min,sgr_h
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-17,4.067141643221973,33,0.86039667801972,3.7155983929768803,"[1.727, 4.427)",8,,0.00650417273192495,0.390250363915497
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-19,5.612997724501728,35,0.8291432541795961,3.7055028217295414,"[4.427, 6.133)",8,,0.004513205700546215,0.2707923420327729
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-20,4.826985080138707,39,0.88231761249156,4.192199006890024,"[4.427, 6.133)",8,,0.005292489254557985,0.3175493552734791
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-21,6.237752985571906,39,1.10700719082792,5.4309115153983605,"[6.133, 15.79]",0,,0.005803143156407698,0.34818858938446184
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-23,4.6888088171485975,38,1.11248742444588,4.48831133310924,"[4.427, 6.133)",8,,0.004218597647432329,0.25311585884593973
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-24,4.475201458529984,36,0.80559434184012,2.81684007963144,"[4.427, 6.133)",16,,0.005243969753989236,0.31463818523935416
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-25,4.074819314607698,35,0.80011410822216,2.76203774345184,"[1.727, 4.427)",8,,0.004965989015922687,0.29795934095536125
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-27,4.769571425017831,38,1.0337344454232236,4.522453400120753,"[4.427, 6.133)",16,,0.005222071534288363,0.3133242920573018
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-28,6.606432585061993,39,1.06316532188424,4.72396137868152,"[6.133, 15.79]",8,,0.005787016093410084,0.347220965604605
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-30,4.735395788479357,41,0.93711994867116,2.98124708817024,"[4.427, 6.133)",8,,0.004229357303966697,0.2537614382380018
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-33,4.951848444424032,33,1.11796765806384,4.82808581742276,"[4.427, 6.133)",0,,0.0060356627474904764,0.36213976484942856
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-35,5.787203339206412,43,0.8220350426940001,5.051157167278758,"[4.427, 6.133)",-8,,0.006129670303074473,0.3677802181844684
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-36,4.176530281991576,36,0.97000135037892,2.8552017149571602,"[1.727, 4.427)",8,,0.004732245687667744,0.2839347412600647
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-42,4.151536455792536,41,0.8768373788736,3.24977853545028,"[1.727, 4.427)",8,,0.0046016575763514495,0.276099454581087
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-43,6.660328764217784,43,0.97548158399688,6.04469768060988,"[6.133, 15.79]",-8,,0.006121090433074237,0.3672654259844542
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-44,6.578380726157115,42,0.98096181761484,6.3844721649234,"[6.133, 15.79]",-8,,0.006160221250970164,0.36961327505820984
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-46,3.907045699830679,38,0.685029202245,4.01153100834672,"[1.727, 4.427)",8,,0.006523675123660053,0.3914205074196032
