id,condition,area,popping_frame,max_focis,area_focis,first_focis_frame,last_max_focis_frame,first_max_focis_frame,max_focis_duration_frame,max_focis_duration_min,diff_last_max_focis_first_focis_frame,diff_first_max_focis_first_focis_frame,diff_popping_time_first_max_focis_frame,diff_popping_time_last_max_focis_frame,diff_last_max_focis_first_focis_min,diff_first_max_focis_first_focis_min,diff_popping_time_last_max_focis_min,diff_popping_time_first_max_focis_min,bin_prey_area
Citrobacter-6-c58cde8c-8830-411d-b0a8-e1c837b519ae-1,Citrobacter,3.2247663169293825,29,5,0.6449532633858766,7,29,28,1,8,22,21,1,0,176,168,0,8,"[2.598, 4.073)"
Citrobacter-6-c58cde8c-8830-411d-b0a8-e1c837b519ae-2,Citrobacter,3.542384074656509,30,7,0.5060548678080727,2,30,29,1,8,28,27,1,0,224,216,0,8,"[2.598, 4.073)"
Citrobacter-6-c58cde8c-8830-411d-b0a8-e1c837b519ae-8,Citrobacter,3.70114897471744,34,5,0.740229794943488,4,34,34,0,0,30,30,0,0,240,240,0,0,"[2.598, 4.073)"
Citrobacter-6-d0d7ce5d-fd92-4faa-957f-49a7267a141b-1,Citrobacter,3.7334790794079624,37,6,0.6222465132346604,2,36,36,0,0,34,34,1,1,272,272,8,8,"[2.598, 4.073)"
Citrobacter-6-d0d7ce5d-fd92-4faa-957f-49a7267a141b-2,Citrobacter,4.019616566896056,27,7,0.5742309381280081,4,24,24,0,0,20,20,3,3,160,160,24,24,"[2.598, 4.073)"
Citrobacter-6-d0d7ce5d-fd92-4faa-957f-49a7267a141b-3,Citrobacter,3.6105603386221956,38,5,0.7221120677244391,2,29,29,0,0,27,27,9,9,216,216,72,72,"[2.598, 4.073)"
Citrobacter-6-d0d7ce5d-fd92-4faa-957f-49a7267a141b-6,Citrobacter,4.6652040139626205,33,7,0.6664577162803743,4,33,33,0,0,29,29,0,0,232,232,0,0,"[4.073, 6.571]"
Citrobacter-6-d5442aeb-6434-425c-88fb-f2dd41463534-12,Citrobacter,2.9318625514945262,25,5,0.5863725102989052,7,26,19,7,56,19,12,6,-1,152,96,-8,48,"[2.598, 4.073)"
Citrobacter-6-d5442aeb-6434-425c-88fb-f2dd41463534-14,Citrobacter,3.5053145149252884,42,5,0.7010629029850577,2,37,37,0,0,35,35,5,5,280,280,40,40,"[2.598, 4.073)"
Citrobacter-6-d5442aeb-6434-425c-88fb-f2dd41463534-2,Citrobacter,4.292320402154122,32,6,0.7153867336923536,5,21,21,0,0,16,16,11,11,128,128,88,88,"[4.073, 6.571]"
Citrobacter-6-d5442aeb-6434-425c-88fb-f2dd41463534-3,Citrobacter,4.533219525974018,48,7,0.6476027894248597,3,44,44,0,0,41,41,4,4,328,328,32,32,"[4.073, 6.571]"
Citrobacter-6-d5442aeb-6434-425c-88fb-f2dd41463534-4,Citrobacter,3.7240869657029534,38,5,0.7448173931405907,3,37,37,0,0,34,34,1,1,272,272,8,8,"[2.598, 4.073)"
Citrobacter-6-d5442aeb-6434-425c-88fb-f2dd41463534-6,Citrobacter,3.2298803122527384,33,5,0.6459760624505477,5,33,29,4,32,28,24,4,0,224,192,0,32,"[2.598, 4.073)"
Citrobacter-6-d5442aeb-6434-425c-88fb-f2dd41463534-7,Citrobacter,4.744698544984438,37,6,0.7907830908307396,5,34,34,0,0,29,29,3,3,232,232,24,24,"[4.073, 6.571]"
Citrobacter-6-d5442aeb-6434-425c-88fb-f2dd41463534-9,Citrobacter,3.3475955743782517,34,5,0.6695191148756503,6,36,34,2,16,30,28,0,-2,240,224,-16,0,"[2.598, 4.073)"
