id,condition,area,popping_frame,max_focis,area_focis,first_focis_frame,last_max_focis_frame,first_max_focis_frame,max_focis_duration_frame,max_focis_duration_min,diff_last_max_focis_first_focis_frame,diff_first_max_focis_first_focis_frame,diff_popping_time_first_max_focis_frame,diff_popping_time_last_max_focis_frame,diff_last_max_focis_first_focis_min,diff_first_max_focis_first_focis_min,diff_popping_time_last_max_focis_min,diff_popping_time_first_max_focis_min,bin_prey_area
WT-8-3881f795-3130-4be5-9584-463d1853db6f-16,WT,2.989650408584672,43,5,0.5979300817169344,8,43,43,0,0,35,35,0,0,280,280,0,0,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-18,WT,3.8503656260279793,47,7,0.5500522322897113,6,46,46,0,0,40,40,1,1,320,320,8,8,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-2,WT,3.1492682548599595,52,6,0.5248780424766599,7,38,38,0,0,31,31,14,14,248,248,112,112,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-20,WT,4.392139150186866,47,6,0.7320231916978109,10,44,42,2,16,34,32,5,3,272,256,24,40,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-22,WT,4.144083597229302,45,6,0.6906805995382169,9,43,42,1,8,34,33,3,2,272,264,16,24,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-28,WT,3.8573824942235793,38,7,0.5510546420319399,5,38,38,0,0,33,33,0,0,264,264,0,0,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-29,WT,3.222102918575408,55,6,0.5370171530959014,10,54,54,0,0,44,44,1,1,352,352,8,8,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-30,WT,3.3017628433374027,49,5,0.6603525686674805,17,48,42,6,48,31,25,7,1,248,200,8,56,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-32,WT,3.913927053793562,42,8,0.4892408817241953,4,39,39,0,0,35,35,3,3,280,280,24,24,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-34,WT,3.2345434296136193,39,5,0.6469086859227239,11,37,32,5,40,26,21,7,2,208,168,16,56,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-37,WT,3.4701844518633984,48,4,0.8675461129658496,15,42,33,9,72,27,18,15,6,216,144,48,120,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-38,WT,3.969845183042172,46,7,0.567120740434596,5,43,43,0,0,38,38,3,3,304,304,24,24,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-39,WT,3.667051137464212,49,6,0.6111751895773686,7,49,40,9,72,42,33,9,0,336,264,0,72,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-4,WT,5.002512003188774,36,6,0.8337520005314624,11,33,30,3,24,22,19,6,3,176,152,24,48,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-40,WT,3.458401932107156,58,3,1.1528006440357188,8,53,25,28,224,45,17,33,5,360,136,40,264,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-41,WT,3.941427878910671,46,7,0.5630611255586673,4,41,41,0,0,37,37,5,5,296,296,40,40,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-42,WT,4.085725288925431,35,7,0.5836750412750616,10,34,34,0,0,24,24,1,1,192,192,8,8,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-44,WT,3.719112649515746,52,5,0.7438225299031492,17,47,47,0,0,30,30,5,5,240,240,40,40,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-45,WT,3.8634493356675037,41,8,0.48293116695843796,9,41,41,0,0,32,32,0,0,256,256,0,0,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-47,WT,3.0664168571503563,29,7,0.4380595510214795,7,26,26,0,0,19,19,3,3,152,152,24,24,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-51,WT,3.4994688285881943,40,6,0.5832448047646991,4,39,38,1,8,35,34,2,1,280,272,8,16,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-52,WT,3.232471468531246,38,5,0.6464942937062492,6,37,37,0,0,31,31,1,1,248,248,8,8,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-53,WT,4.619538559115515,35,4,1.1548846397788788,9,34,34,0,0,25,25,1,1,200,200,8,8,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-56,WT,4.034909567555772,52,7,0.5764156525079674,7,46,45,1,8,39,38,7,6,312,304,48,56,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-57,WT,5.244458141917742,54,7,0.749208305988249,7,52,52,0,0,45,45,2,2,360,360,16,16,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-62,WT,5.742566810442538,65,7,0.8203666872060769,4,64,61,3,24,60,57,4,1,480,456,8,32,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-63,WT,3.041986247775686,50,5,0.6083972495551372,10,42,41,1,8,32,31,9,8,256,248,64,72,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-66,WT,3.3670668320986756,37,6,0.5611778053497792,7,36,30,6,48,29,23,7,1,232,184,8,56,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-67,WT,3.7941313483276815,52,6,0.6323552247212803,22,51,39,12,96,29,17,13,1,232,136,8,104,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-68,WT,3.5710779802303847,44,6,0.5951796633717308,7,44,44,0,0,37,37,0,0,296,296,0,0,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-7,WT,4.310020976854161,45,6,0.7183368294756934,11,44,37,7,56,33,26,8,1,264,208,8,64,"[3.64, 6.516]"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-70,WT,3.2649290315877066,45,4,0.8162322578969267,20,45,35,10,80,25,15,10,0,200,120,0,80,"[2.053, 3.64)"
WT-8-3881f795-3130-4be5-9584-463d1853db6f-9,WT,3.9847741513374237,54,7,0.5692534501910606,12,47,47,0,0,35,35,7,7,280,280,56,56,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-105,WT,3.682493167340959,39,5,0.7364986334681918,5,37,37,0,0,32,32,2,2,256,256,16,16,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-106,WT,5.1076991775435125,49,7,0.7296713110776446,8,41,41,0,0,33,33,8,8,264,264,64,64,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-109,WT,4.792239830400524,47,7,0.6846056900572177,14,39,38,1,8,25,24,9,8,200,192,64,72,"[3.64, 6.516]"
